ACBD6	RRP15
ACSL3	ETV1
ACTB	GLI1
AFF1	CCDC84
AFF1	DSCAML1
AFF1	FXYD6
AGPAT5	MCPH1
AGTRAP	BRAF
AHRR	NCOA2
AKAP9	BRAF
ARFIP1	FHDC1
ARID1A	MAST2
ASPSCR1	TFE3
ATG16L2	KMT2A
ATG4C	FBXO38
ATIC	ALK
BBS9	PKD1L1
BCL11B	NKX2-5
BCL11B	TLX3
BCL11B	TRD
BCL6	CIITA
BCL6	PIM1
BCR	ABL1
BCR	FGFR1
BCR	JAK2
BCR	PDGFRA
BCR	RALGPS1
BRD3	NUTM1
BRD4	NUTM1
C11ORF95	MKL2
C2orf44	ALK
CANT1	ETV4
CARS	ALK
CBFA2T3	GLIS2
CBFB	MYH11
CCDC122	VPS36
CCDC6	PDGFRB
CCDC6	RET
CD74	NRG1
CD74	ROS1
CDH11	USP6
CDKN2D	WDFY2
CEP89	BRAF
CHCHD7	PLAG1
CHIC2	ETV6
CIC	DUX4
CIC	DUX4L1
CIC	FOXO4
CIITA	BCL6
CLCN6	BRAF
CLIP1	ROS1
CLTC	ALK
CLTC	TFE3
CNBP	USP6
CNTRL	FGFR1
COL1A1	PDGFB
COL1A1	USP6
COL1A2	PLAG1
COL6A3	CSF1
CPSF6	FGFR1
CRTC1	MAML2
CRTC3	MAML2
CSF2RA	CRLF2
CTAGE5	SIP1
CTCF	PARD6A
CTNNB1	PLAG1
CYTH1	PRPSAP1
DCTN1	ALK
DDX5	ETV4
DEK	NUP214
DHH	RHEBL1
DNAJB1	PRKACA
DSCAML1	KMT2A
EBF1	PDGFRB
EBF1	RPSAP52
EIF3E	RSPO2
EIF3K	CYP39A1
EML4	ALK
EPC1	PHF1
ERC1	RET
ERC1	ROS1
ERO1L	FERMT2
ESRP1	RAF1
ESRRG	ACBD3
ETV6	ABL1
ETV6	ACSL6
ETV6	ARNT
ETV6	GOT1
ETV6	ITPR2
ETV6	JAK2
ETV6	MECOM
ETV6	NCOA2
ETV6	NTRK3
ETV6	RUNX1
ETV6	SYK
EWSR1	ATF1
EWSR1	CREB1
EWSR1	DDIT3
EWSR1	ERG
EWSR1	ETV1
EWSR1	ETV4
EWSR1	FEV
EWSR1	FLI1
EWSR1	NFATC1
EWSR1	NFATC2
EWSR1	NR4A3
EWSR1	PATZ1
EWSR1	PBX1
EWSR1	POU5F1
EWSR1	SMARCA5
EWSR1	SP3
EWSR1	WT1
EWSR1	YY1
EWSR1	ZNF384
EWSR1	ZNF444
EZR	ROS1
FAM131B	BRAF
FBXL18	RNF216
FCHSD1	BRAF
FGFR1	PLAG1
FGFR1	TACC1
FGFR1	ZNF703
FGFR3	BAIAP2L1
FGFR3	TACC3
FIP1L1	PDGFRA
FIP1L1	RARA
FN1	ALK
FOXP1	IGHA2
FUS	ATF1
FUS	CREB3L1
FUS	CREB3L2
FUS	DDIT3
FUS	ERG
FUS	FEV
FXYD6	KMT2A
GAS5	BCL6
GATM	BRAF
GMDS	PDE8B
GNAI1	BRAF
GOLGA5	RET
GOPC	ROS1
GPBP1L1	MAST2
HACL1	RAF1
HAS2	PLAG1
HERPUD1	BRAF
HEY1	NCOA2
HIP1	ALK
HLA-A	ROS1
HMGA2	ALDH2
HMGA2	CCNB1IP1
HMGA2	COX6C
HMGA2	EBF1
HMGA2	FHIT
HMGA2	LHFP
HMGA2	LPP
HMGA2	NFIB
HMGA2	PPAP2B
HMGA2	RAD51B
HMGA2	WIF1
HN1	USH1G
HNRNPA2B1	ETV1
HOOK3	RET
HSP90AA1	BCL6
IER3IP1	HDHD2
IGH	BCL10
IGH	BCL11A
IGH	BCL2
IGH	BCL3
IGH	BCL6
IGH	BMI1
IGH	CCND1
IGH	CCND3
IGH	CDK6
IGH	CEBPA
IGH	CEBPB
IGH	CEBPD
IGH	CEBPE
IGH	CEBPG
IGH	CRLF2
IGH	EPOR
IGH	ERVW-1
IGH	FCGR2B
