Gene	Exon	Transcript
ABL1	4	NM_005157
ABL1	5	NM_005157
ABL1	6	NM_005157
ABL1	4	NM_007313
ABL1	5	NM_007313
ABL1	6	NM_007313
AKT1	2	NM_001014431
AKT1	3	NM_001014431
AKT1	10	NM_001014431
AKT1	2	NM_001014432
AKT1	3	NM_001014432
AKT1	10	NM_001014432
AKT1	2	NM_005163
AKT1	3	NM_005163
AKT1	10	NM_005163
AKT3	2	NM_001206729
AKT3	2	NM_005465
AKT3	2	NM_181690
ALK	5	NM_004304
ALK	12	NM_004304
ALK	20	NM_004304
ALK	21	NM_004304
ALK	22	NM_004304
ALK	23	NM_004304
ALK	24	NM_004304
ALK	25	NM_004304
ALK	28	NM_004304
APC	15	NM_000038
APC	15	NM_001127510
APC	14	NM_001127511
ARAF	6	NM_001256196
ARAF	9	NM_001256196
ARAF	6	NM_001654
ARAF	9	NM_001654
BRAF	3	NM_004333
BRAF	11	NM_004333
BRAF	15	NM_004333
BTK	14	NM_000061
BTK	15	NM_001287344
CARD11	7	NM_001324281
CARD11	7	NM_032415
CBL	8	NM_005188
CCND3	4	NM_001136017
CCND3	4	NM_001136125
CCND3	2	NM_001136126
CCND3	5	NM_001287427
CCND3	2	NM_001287434
CCND3	5	NM_001760
CDK4	1	NM_000075
CRLF2	4	NM_001012288
CRLF2	6	NM_022148
CSF1R	11	NM_001288705
CSF1R	11	NM_005211
CSF3R	12	NM_000760
CSF3R	13	NM_000760
CSF3R	15	NM_000760
CSF3R	12	NM_156039
CSF3R	13	NM_156039
CSF3R	15	NM_156039
CSF3R	12	NM_172313
CSF3R	13	NM_172313
CSF3R	15	NM_172313
CTNNB1	2	NM_001098209
CTNNB1	2	NM_001098210
CTNNB1	2	NM_001904
DDR2	3	NM_001014796
DDR2	6	NM_001014796
DDR2	11	NM_001014796
DDR2	13	NM_001014796
DDR2	15	NM_001014796
DDR2	3	NM_006182
DDR2	6	NM_006182
DDR2	11	NM_006182
DDR2	13	NM_006182
DDR2	15	NM_006182
DNMT3A	18	NM_001320893
DNMT3A	22	NM_022552
DNMT3A	19	NM_153759
DNMT3A	22	NM_175629
EGFR	3	NM_005228
EGFR	6	NM_005228
EGFR	7	NM_005228
EGFR	12	NM_005228
EGFR	14	NM_005228
EGFR	15	NM_005228
EGFR	18	NM_005228
EGFR	19	NM_005228
EGFR	20	NM_005228
EGFR	21	NM_005228
EGFR	3	NM_201282
EGFR	6	NM_201282
EGFR	7	NM_201282
EGFR	12	NM_201282
EGFR	14	NM_201282
EGFR	15	NM_201282
EGFR	3	NM_201283
EGFR	6	NM_201283
EGFR	7	NM_201283
EGFR	3	NM_201284
EGFR	6	NM_201284
EGFR	7	NM_201284
EGFR	12	NM_201284
EGFR	14	NM_201284
EGFR	15	NM_201284
EPHA2	5	NM_004431
ERBB2	7	NM_001005862
ERBB2	16	NM_001005862
ERBB2	18	NM_001005862
ERBB2	19	NM_001005862
ERBB2	20	NM_001005862
ERBB2	21	NM_001005862
ERBB2	8	NM_001289936
ERBB2	17	NM_001289936
ERBB2	19	NM_001289936
ERBB2	20	NM_001289936
ERBB2	21	NM_001289936
ERBB2	22	NM_001289936
ERBB2	8	NM_001289937
ERBB2	17	NM_001289937
ERBB2	19	NM_001289937
ERBB2	20	NM_001289937
ERBB2	21	NM_001289937
ERBB2	22	NM_001289937
ERBB2	7	NM_001289938
ERBB2	8	NM_004448
ERBB2	17	NM_004448
ERBB2	19	NM_004448
ERBB2	20	NM_004448
ERBB2	21	NM_004448
ERBB2	22	NM_004448
ERBB3	3	NM_001005915
ERBB3	3	NM_001982
ERBB3	6	NM_001982
ERBB3	7	NM_001982
ERBB3	10	NM_001982
ERBB3	20	NM_001982
ERBB3	21	NM_001982
ERBB3	23	NM_001982
ERBB4	8	NM_001042599
ERBB4	10	NM_001042599
ERBB4	12	NM_001042599
ERBB4	14	NM_001042599
ERBB4	21	NM_001042599
ERBB4	8	NM_005235
ERBB4	10	NM_005235
ERBB4	12	NM_005235
ERBB4	14	NM_005235
ERBB4	21	NM_005235
ESR1	5	NM_000125
ESR1	7	NM_000125
ESR1	8	NM_000125
ESR1	5	NM_001122740
ESR1	7	NM_001122740
ESR1	8	NM_001122740
ESR1	5	NM_001122741
ESR1	7	NM_001122741
ESR1	8	NM_001122741
ESR1	5	NM_001122742
ESR1	7	NM_001122742
ESR1	8	NM_001122742
ESR1	5	NM_001291230
ESR1	7	NM_001291230
ESR1	8	NM_001291230
ESR1	5	NM_001291241
ESR1	7	NM_001291241
ESR1	8	NM_001291241
ESR1	4	NM_001328100
EZH2	7	NM_001203247
EZH2	15	NM_001203247
EZH2	17	NM_001203247
EZH2	7	NM_001203248
EZH2	15	NM_001203248
EZH2	17	NM_001203248
EZH2	7	NM_001203249
EZH2	14	NM_001203249
EZH2	16	NM_001203249
EZH2	7	NM_004456
EZH2	15	NM_004456
EZH2	17	NM_004456
EZH2	6	NM_152998
EZH2	14	NM_152998
EZH2	16	NM_152998
FGFR2	2	NM_000141
FGFR2	4	NM_000141
FGFR2	6	NM_000141
FGFR2	8	NM_000141
FGFR2	11	NM_000141
FGFR2	12	NM_000141
FGFR2	13	NM_000141
FGFR2	2	NM_001144913
FGFR2	4	NM_001144913
FGFR2	6	NM_001144913
FGFR2	7	NM_001144913
FGFR2	8	NM_001144913
FGFR2	11	NM_001144913
FGFR2	12	NM_001144913
FGFR2	13	NM_001144913
FGFR2	2	NM_001144914
FGFR2	4	NM_001144914
FGFR2	6	NM_001144914
FGFR2	9	NM_001144914
FGFR2	10	NM_001144914
FGFR2	11	NM_001144914
FGFR2	3	NM_001144915
FGFR2	5	NM_001144915
FGFR2	7	NM_001144915
FGFR2	10	NM_001144915
FGFR2	11	NM_001144915
FGFR2	12	NM_001144915
FGFR2	2	NM_001144916
FGFR2	4	NM_001144916
FGFR2	6	NM_001144916
FGFR2	9	NM_001144916
FGFR2	10	NM_001144916
FGFR2	11	NM_001144916
FGFR2	2	NM_001144917
FGFR2	4	NM_001144917
FGFR2	6	NM_001144917
FGFR2	9	NM_001144917
FGFR2	10	NM_001144917
FGFR2	11	NM_001144917
FGFR2	2	NM_001144918
FGFR2	4	NM_001144918
FGFR2	6	NM_001144918
FGFR2	9	NM_001144918
FGFR2	10	NM_001144918
FGFR2	11	NM_001144918
FGFR2	3	NM_001144919
FGFR2	5	NM_001144919
FGFR2	6	NM_001144919
FGFR2	7	NM_001144919
FGFR2	10	NM_001144919
FGFR2	11	NM_001144919
FGFR2	12	NM_001144919
FGFR2	3	NM_001320654
FGFR2	5	NM_001320654
FGFR2	8	NM_001320654
FGFR2	9	NM_001320654
FGFR2	10	NM_001320654
FGFR2	2	NM_001320658
FGFR2	4	NM_001320658
FGFR2	6	NM_001320658
FGFR2	8	NM_001320658
FGFR2	11	NM_001320658
FGFR2	12	NM_001320658
FGFR2	13	NM_001320658
FGFR2	2	NM_022970
FGFR2	4	NM_022970
FGFR2	6	NM_022970
FGFR2	7	NM_022970
FGFR2	8	NM_022970
FGFR2	11	NM_022970
FGFR2	12	NM_022970
FGFR2	13	NM_022970
FGFR2	3	NM_023029
FGFR2	5	NM_023029
FGFR2	7	NM_023029
FGFR2	10	NM_023029
FGFR2	11	NM_023029
FGFR2	12	NM_023029
FGFR3	6	NM_000142
FGFR3	8	NM_000142
FGFR3	12	NM_000142
FGFR3	6	NM_001163213
FGFR3	8	NM_001163213
FGFR3	12	NM_001163213
FGFR3	6	NM_022965
FGFR3	10	NM_022965
FGFR4	3	NM_001291980
FGFR4	8	NM_001291980
FGFR4	9	NM_001291980
FGFR4	11	NM_001291980
FGFR4	12	NM_001291980
FGFR4	13	NM_001291980
FGFR4	15	NM_001291980
FGFR4	17	NM_001291980
FGFR4	3	NM_002011
FGFR4	8	NM_002011
FGFR4	9	NM_002011
FGFR4	11	NM_002011
FGFR4	12	NM_002011
FGFR4	13	NM_002011
FGFR4	15	NM_002011
FGFR4	17	NM_002011
FGFR4	3	NM_022963
FGFR4	8	NM_022963
FGFR4	10	NM_022963
FGFR4	11	NM_022963
FGFR4	12	NM_022963
FGFR4	14	NM_022963
FGFR4	16	NM_022963
FGFR4	3	NM_213647
FGFR4	8	NM_213647
FGFR4	9	NM_213647
FGFR4	11	NM_213647
FGFR4	12	NM_213647
FGFR4	13	NM_213647
FGFR4	15	NM_213647
FGFR4	17	NM_213647
FLT3	14	NM_004119
FLT3	15	NM_004119
FLT3	16	NM_004119
FLT3	17	NM_004119
FLT3	20	NM_004119
FOXL2	1	NM_023067
FRK	6	NM_002031
GATA2	4	NM_001145661
GATA2	5	NM_001145661
GATA2	4	NM_001145662
GATA2	5	NM_001145662
GATA2	4	NM_032638
GATA2	5	NM_032638
GNA11	5	NM_002067
GNAQ	5	NM_002072
GNAS	8	NM_000516
GNAS	8	NM_001077488
GNAS	7	NM_001077489
GNAS	1	NM_001077490
GNAS	7	NM_001309840
GNAS	7	NM_001309861
GNAS	1	NM_001309883
GNAS	1	NM_080425
GNAS	8	NM_080425
GNAS	7	NM_080426
HERC2	8	NM_004667
HERC2	15	NM_004667
HRAS	1	NM_001130442
HRAS	2	NM_001130442
HRAS	1	NM_005343
HRAS	2	NM_005343
HRAS	1	NM_176795
HRAS	2	NM_176795
IDH1	2	NM_001282386
IDH1	2	NM_001282387
IDH1	2	NM_005896
IDH2	3	NM_001289910
IDH2	1	NM_001290114
IDH2	4	NM_002168
IL7R	5	NM_002185
IL7R	6	NM_002185
JAK1	13	NM_001320923
JAK1	14	NM_001320923
JAK1	15	NM_001320923
JAK1	16	NM_001320923
JAK1	18	NM_001320923
JAK1	19	NM_001320923
JAK1	13	NM_001321852
JAK1	14	NM_001321852
JAK1	15	NM_001321852
JAK1	16	NM_001321852
JAK1	18	NM_001321852
JAK1	19	NM_001321852
JAK1	13	NM_001321853
JAK1	14	NM_001321853
JAK1	15	NM_001321853
JAK1	16	NM_001321853
JAK1	18	NM_001321853
JAK1	19	NM_001321853
JAK1	13	NM_001321854
JAK1	14	NM_001321854
JAK1	15	NM_001321854
JAK1	16	NM_001321854
JAK1	18	NM_001321854
JAK1	19	NM_001321854
JAK1	13	NM_001321855
JAK1	14	NM_001321855
JAK1	15	NM_001321855
JAK1	16	NM_001321855
JAK1	18	NM_001321855
JAK1	19	NM_001321855
JAK1	13	NM_001321856
JAK1	14	NM_001321856
JAK1	15	NM_001321856
JAK1	16	NM_001321856
JAK1	18	NM_001321856
JAK1	19	NM_001321856
JAK1	13	NM_001321857
JAK1	14	NM_001321857
JAK1	15	NM_001321857
JAK1	16	NM_001321857
JAK1	18	NM_001321857
JAK1	19	NM_001321857
JAK1	13	NM_002227
JAK1	14	NM_002227
JAK1	15	NM_002227
JAK1	16	NM_002227
JAK1	18	NM_002227
JAK1	19	NM_002227
JAK2	12	NM_001322194
JAK2	14	NM_001322194
JAK2	12	NM_001322195
JAK2	14	NM_001322195
JAK2	12	NM_001322196
JAK2	14	NM_001322196
JAK2	5	NM_001322198
JAK2	7	NM_001322198
JAK2	5	NM_001322199
JAK2	7	NM_001322199
JAK2	10	NM_001322204
JAK2	12	NM_001322204
JAK2	12	NM_004972
JAK2	14	NM_004972
JAK3	2	NM_000215
JAK3	3	NM_000215
JAK3	4	NM_000215
JAK3	10	NM_000215
JAK3	12	NM_000215
JAK3	14	NM_000215
JAK3	15	NM_000215
KDR	15	NM_002253
KDR	24	NM_002253
KIT	8	NM_000222
KIT	9	NM_000222
KIT	10	NM_000222
KIT	11	NM_000222
KIT	13	NM_000222
KIT	14	NM_000222
KIT	17	NM_000222
KIT	18	NM_000222
KIT	8	NM_001093772
KIT	9	NM_001093772
KIT	10	NM_001093772
KIT	11	NM_001093772
KIT	13	NM_001093772
KIT	14	NM_001093772
KIT	17	NM_001093772
KIT	18	NM_001093772
KRAS	1	NM_004985
KRAS	2	NM_004985
KRAS	3	NM_004985
KRAS	1	NM_033360
KRAS	2	NM_033360
KRAS	3	NM_033360
LTK	12	NM_001135685
LTK	14	NM_002344
LTK	13	NM_206961
MAP2K1	2	NM_002755
MAP2K1	3	NM_002755
MAP2K1	6	NM_002755
MAP2K1	7	NM_002755
MAP2K1	8	NM_002755
MAP2K1	11	NM_002755
MAP2K2	2	NM_030662
MAP2K2	3	NM_030662
MAP2K2	6	NM_030662
MET	13	NM_000245
MET	14	NM_000245
MET	15	NM_000245
MET	16	NM_000245
MET	18	NM_000245
MET	13	NM_001127500
MET	14	NM_001127500
MET	15	NM_001127500
MET	16	NM_001127500
MET	18	NM_001127500
MET	12	NM_001324402
MET	13	NM_001324402
MET	14	NM_001324402
MET	15	NM_001324402
MET	17	NM_001324402
MPL	10	NM_005373
MTOR	29	NM_004958
MTOR	38	NM_004958
MTOR	43	NM_004958
MTOR	46	NM_004958
MTOR	47	NM_004958
MTOR	52	NM_004958
MTOR	53	NM_004958
MTOR	55	NM_004958
MYD88	2	NM_001172566
MYD88	3	NM_001172566
MYD88	3	NM_001172567
MYD88	4	NM_001172567
MYD88	5	NM_001172567
MYD88	2	NM_001172568
MYD88	3	NM_001172568
MYD88	4	NM_001172568
MYD88	3	NM_001172569
